group,type,dog,desc,link
Smallest Dog Breeds,Size,English Toy Spaniel,"A true spaniel—affectionate, alert, and merry.",/dog-breeds/english-toy-spaniel/
Smallest Dog Breeds,Size,Havanese,"Outgoing, funny, & intelligent.",/dog-breeds/havanese/
Smallest Dog Breeds,Size,Italian Greyhound,"Sensitive and alert, playful, highly affectionate",/dog-breeds/italian-greyhound/
Smallest Dog Breeds,Size,Japanese Chin,"A true aristocrat: charming and loving with those they favor, nobly reserved with strangers",/dog-breeds/japanese-chin/
Smallest Dog Breeds,Size,Maltese,"Gentle, playful, affectionate; fearless in a charming toy-dog way.",/dog-breeds/maltese/
Smallest Dog Breeds,Size,Miniature Pinscher,"Proud, fearless, and fun-loving, Min Pins are a true “personality breed.""",/dog-breeds/miniature-pinscher/
Smallest Dog Breeds,Size,Norfolk Terrier,"Alert, fearless, fun-loving, and more sociable than the usual terrier.",/dog-breeds/norfolk-terrier/
Smallest Dog Breeds,Size,Norwich Terrier,"Alert, curious, affectionate, gregarious, loyal ",/dog-breeds/norwich-terrier/
Smallest Dog Breeds,Size,Papillon,"Happy, alert, friendly.",/dog-breeds/papillon/
Smallest Dog Breeds,Size,Pekingese,"Affectionate, loyal, regal in manner.",/dog-breeds/pekingese/
Smallest Dog Breeds,Size,Pomeranian,"Lively, bold, and inquisitive—a prototypical ""personality breed"".",/dog-breeds/pomeranian/
Smallest Dog Breeds,Size,Pug,"Even-tempered, charming, mischievous and loving.",/dog-breeds/pug/
Smallest Dog Breeds,Size,Schipperke,"Alert, curious, confident; intense, but with a dash of mischief and impudence",/dog-breeds/schipperke/
Smallest Dog Breeds,Size,Shih Tzu,"Outgoing, affectionate, playful and charming",/dog-breeds/shih-tzu/
Smallest Dog Breeds,Size,Silky Terrier,"Friendly, vivacious, cheeky; in all ways a true terrier.",/dog-breeds/silky-terrier/
Smallest Dog Breeds,Size,Toy Fox Terrier,"Toy Fox Terriers are outgoing and friendly, yet fiercely loyal to their families.",/dog-breeds/toy-fox-terrier/
Smallest Dog Breeds,Size,Manchester Terrier,"Spirited, bright, keenly observant; dead loyal, in an independent terrier way.",/dog-breeds/manchester-terrier/
Smallest Dog Breeds,Size,Poodle,"Proud, active and very smart..",/dog-breeds/poodle/
Smallest Dog Breeds,Size,Yorkshire Terrier,"Sprightly, tomboyish, and affectionate",/dog-breeds/yorkshire-terrier/
Smartest Dogs,Characteristic,Border Collie,Remarkably smart workaholics; not averse to a good cuddle.,/dog-breeds/border-collie/
Smartest Dogs,Characteristic,Poodle,"Proud, active and very smart..",/dog-breeds/poodle/
Smartest Dogs,Characteristic,German Shepherd Dog,"Smart, confident, courageous, and steady; a true dog lover's dog.",/dog-breeds/german-shepherd-dog/
Smartest Dogs,Characteristic,Golden Retriever,"Intelligent, friendly, and devoted.",/dog-breeds/golden-retriever/
Smartest Dogs,Characteristic,Doberman Pinscher,"Alert, fearless, loyal, and highly trainable.",/dog-breeds/doberman-pinscher/
Smartest Dogs,Characteristic,Shetland Sheepdog,"Bright, playful, and energetic",/dog-breeds/shetland-sheepdog/
Smartest Dogs,Characteristic,Labrador Retriever,"Friendly and outgoing, Labs play well with others",/dog-breeds/labrador-retriever/
Smartest Dogs,Characteristic,Papillon,"Happy, alert, friendly.",/dog-breeds/papillon/
Smartest Dogs,Characteristic,Bloodhound,"Inquisitive, independent, friendly, affectionate with family, can be reserved with strangers",/dog-breeds/bloodhound/
Smartest Dogs,Characteristic,Rottweiler,Reserved with strangers and affectionate and loyal with his family.,/dog-breeds/rottweiler/
Sporting,Group,American Water Spaniel,"Happy, eager, and charming; aloof with strangers, and a little stubborn.",/dog-breeds/american-water-spaniel/
Sporting,Group,Boykin Spaniel,"A classic spaniel: friendly, eager, trainable, and lovable.",/dog-breeds/boykin-spaniel/
Sporting,Group,Brittany,"Bright, upbeat, fun-loving at home; a tireless, enthusiastic worker afield.",/dog-breeds/brittany/
Sporting,Group,Chesapeake Bay Retriever,"Bright, sensitive, perceptive; affectionate and family-oriented.",/dog-breeds/chesapeake-bay-retriever/
Sporting,Group,Clumber Spaniel,"Mellow, gentlemanly, amiable; dignified but always amusing.",/dog-breeds/clumber-spaniel/
Sporting,Group,Cocker Spaniel,"Happy, smart, gentle.",/dog-breeds/cocker-spaniel/
Sporting,Group,Curly-Coated Retriever,"Confident, proud, wickedly smart; a thinking person’s retriever.",/dog-breeds/curly-coated-retriever/
Sporting,Group,English Cocker Spaniel,"Merry and responsive, alive with energy.",/dog-breeds/english-cocker-spaniel/
Sporting,Group,English Setter,"Friendly, merry, and mellow; called the “gentleman of the dog world.”",/dog-breeds/english-setter/
Sporting,Group,English Springer Spaniel,"Friendly, playful, obedient at home; hardworking and steady in the field.",/dog-breeds/english-springer-spaniel/
Sporting,Group,Field Spaniel,"Sweet, sensitive, fun-loving, and smart; a real people-pleaser.",/dog-breeds/field-spaniel/
Sporting,Group,Flat-Coated Retriever,"Happy, confident, intelligent, and forever young.",/dog-breeds/flat-coated-retriever/
Sporting,Group,German Shorthaired Pointer,"Friendly, smart, willing to please.",/dog-breeds/german-shorthaired-pointer/
Sporting,Group,German Wirehaired Pointer,"Affectionate, eager, enthusiastic; aloof but not unfriendly with strangers.",/dog-breeds/german-wirehaired-pointer/
Sporting,Group,Golden Retriever,"Intelligent, friendly, and devoted.",/dog-breeds/golden-retriever/
Sporting,Group,Gordon Setter,"Bold, confident, and resolute afield; sweetly affectionate by the fireside.",/dog-breeds/gordon-setter/
Sporting,Group,Irish Red and White Setter,"Fun-loving, friendly, high-spirited; a real handful if bored or neglected.",/dog-breeds/irish-red-and-white-setter/
Sporting,Group,Irish Setter,"Outgoing, sweet-natured, active, and trainable.",/dog-breeds/irish-setter/
Sporting,Group,Irish Water Spaniel,"Alert and inquisitive; hardworking and brave in the field, playful and affectionate at home.",/dog-breeds/irish-water-spaniel/
Sporting,Group,Labrador Retriever,"Friendly and outgoing, Labs play well with others",/dog-breeds/labrador-retriever/
Sporting,Group,Lagotto Romagnolo,,/dog-breeds/lagotto-romagnolo/
Sporting,Group,Nova Scotia Duck Tolling Retriever,"Smart, outgoing, busy; as affectionate and eager to please as any good retriever.",/dog-breeds/nova-scotia-duck-tolling-retriever/
Sporting,Group,Pointer,"Even-tempered, alert, hardworking, and loyal; a peerless hunting partner.",/dog-breeds/pointer/
Sporting,Group,Spinone Italiano,"Sociable, docile, patient; occasionally stubborn but always a character.",/dog-breeds/spinone-italiano/
Sporting,Group,Sussex Spaniel,"Merry and friendly, in the classic spaniel manner.",/dog-breeds/sussex-spaniel/
Sporting,Group,Vizsla,"Gentle, affectionate, energetic and eager.",/dog-breeds/vizsla/
Sporting,Group,Weimaraner,"Friendly, fearless, alert, obedient.",/dog-breeds/weimaraner/
Sporting,Group,Welsh Springer Spaniel,"Happy, upbeat, family oriented; reserved but not shy with strangers.",/dog-breeds/welsh-springer-spaniel/
Sporting,Group,Wirehaired Pointing Griffon,"Outgoing, eager, quick-minded; trustworthy in the field and around the house.",/dog-breeds/wirehaired-pointing-griffon/
Sporting,Group,Wirehaired Vizsla,Calm and gentle around the house; an exuberant hunter on land or lake.,/dog-breeds/wirehaired-vizsla/
Terrier,Group,Airedale Terrier,"Clever, confident, proud; friendly but courageous.",/dog-breeds/airedale-terrier/
Terrier,Group,American Hairless Terrier,"Friendly, lovable, inquisitive; fearlessly game for just about anything.",/dog-breeds/american-hairless-terrier/
Terrier,Group,American Staffordshire Terrier,"Smart, confident, good-natured companions.",/dog-breeds/american-staffordshire-terrier/
Terrier,Group,Australian Terrier,"Plucky, spirited, and smart.",/dog-breeds/australian-terrier/
Terrier,Group,Bedlington Terrier,"Frollicking, charming, and full of fun; a loyal member of the family.",/dog-breeds/bedlington-terrier/
Terrier,Group,Border Terrier,"Plucky, happy, affectionate.",/dog-breeds/border-terrier/
Terrier,Group,Bull Terrier,"Playful and charming; sometimes mischievous, always loyal.",/dog-breeds/bull-terrier/
Terrier,Group,Cairn Terrier,"Cheerful, alert, busy and independent-minded.",/dog-breeds/cairn-terrier/
Terrier,Group,Cesky Terrier,"Feisty and tenacious at work, but a bit more laid back and trainable than the usual terrier.",/dog-breeds/cesky-terrier/
Terrier,Group,Dandie Dinmont Terrier,"Independent, proud, smart; affectionate at home, bold and tenacious in the field.",/dog-breeds/dandie-dinmont-terrier/
Terrier,Group,Glen of Imaal Terrier,"Gentler, less excitable than most terriers, but still bold and spirited.",/dog-breeds/glen-of-imaal-terrier/
Terrier,Group,Irish Terrier,"Bold, dashing, even reckless; stouthearted at work, tenderhearted at home.",/dog-breeds/irish-terrier/
Terrier,Group,Kerry Blue Terrier,"Smart and alert; people oriented, with a dash of Irish humor in his heart",/dog-breeds/kerry-blue-terrier/
Terrier,Group,Lakeland Terrier,"Brave, bright, confident; affectionate with family, especially kids",/dog-breeds/lakeland-terrier/
Terrier,Group,Manchester Terrier,"Spirited, bright, keenly observant; dead loyal, in an independent terrier way.",/dog-breeds/manchester-terrier/
Terrier,Group,Miniature Bull Terrier,"Upbeat, mischievous, comical, with terrier fire and fearlessness.",/dog-breeds/miniature-bull-terrier/
Terrier,Group,Miniature Schnauzer,"Friendly, smart, obedient.",/dog-breeds/miniature-schnauzer/
Terrier,Group,Norfolk Terrier,"Alert, fearless, fun-loving, and more sociable than the usual terrier.",/dog-breeds/norfolk-terrier/
Terrier,Group,Norwich Terrier,"Alert, curious, affectionate, gregarious, loyal ",/dog-breeds/norwich-terrier/
Terrier,Group,Parson Russell Terrier,"Bold, friendly, athletic, and clever.",/dog-breeds/parson-russell-terrier/
Terrier,Group,Rat Terrier,"Friendly, lovable, inquisitive; fearlessly game for just about anything.",/dog-breeds/rat-terrier/
Terrier,Group,Russell Terrier,"Alert, lively, inquisitive, and friendly.",/dog-breeds/russell-terrier/
Terrier,Group,Scottish Terrier,"Independent, confident, and never shy; spirited but dignified",/dog-breeds/scottish-terrier/
Terrier,Group,Sealyham Terrier,Alert and outgoing; stubbornness is tempered by a sly sense of humor,/dog-breeds/sealyham-terrier/
Terrier,Group,Skye Terrier,"Plucky but dignified, calm but sometimes stubborn; famously loyal and devoted.",/dog-breeds/skye-terrier/
Terrier,Group,Smooth Fox Terrier,Friendly and family oriented; bright enough to have a mind of their own,/dog-breeds/smooth-fox-terrier/
Terrier,Group,Soft Coated Wheaten Terrier,"Happy, friendly, and deeply devoted; just stubborn enough to remind you they’re terriers.",/dog-breeds/soft-coated-wheaten-terrier/
Terrier,Group,Staffordshire Bull Terrier,"Brave, tenacious, a bit stubborn; but also gentle, playful, and clever.",/dog-breeds/staffordshire-bull-terrier/
Terrier,Group,Welsh Terrier,"As alert and spirited as any self-respecting terrier, but a bit calmer than most.",/dog-breeds/welsh-terrier/
Terrier,Group,West Highland White Terrier,"Happy, smart, loyal, entertaining.",/dog-breeds/west-highland-white-terrier/
Terrier,Group,Wire Fox Terrier,"Gregarious, alert, and confident, Wires crave attention from their loved ones.",/dog-breeds/wire-fox-terrier/
Toy,Group,Affenpinscher,"Loyal, curious, famously funny; fearless out of all proportion to their size.",/dog-breeds/affenpinscher/
Toy,Group,Brussels Griffon,"Alert, curious, and loyal.",/dog-breeds/brussels-griffon/
Toy,Group,Cavalier King Charles Spaniel,"Affectionate, graceful, and gentle.",/dog-breeds/cavalier-king-charles-spaniel/
Toy,Group,Chihuahua,"Graceful, charming, and sassy.",/dog-breeds/chihuahua/
Toy,Group,Chinese Crested,"Lively, alert, and affectionate.",/dog-breeds/chinese-crested/
Toy,Group,English Toy Spaniel,"A true spaniel—affectionate, alert, and merry.",/dog-breeds/english-toy-spaniel/
Toy,Group,Havanese,"Outgoing, funny, & intelligent.",/dog-breeds/havanese/
Toy,Group,Italian Greyhound,"Sensitive and alert, playful, highly affectionate",/dog-breeds/italian-greyhound/
Toy,Group,Japanese Chin,"A true aristocrat: charming and loving with those they favor, nobly reserved with strangers",/dog-breeds/japanese-chin/
Toy,Group,Maltese,"Gentle, playful, affectionate; fearless in a charming toy-dog way.",/dog-breeds/maltese/
Toy,Group,Manchester Terrier,"Spirited, bright, keenly observant; dead loyal, in an independent terrier way.",/dog-breeds/manchester-terrier/
Toy,Group,Miniature Pinscher,"Proud, fearless, and fun-loving, Min Pins are a true “personality breed.""",/dog-breeds/miniature-pinscher/
Toy,Group,Papillon,"Happy, alert, friendly.",/dog-breeds/papillon/
Toy,Group,Pekingese,"Affectionate, loyal, regal in manner.",/dog-breeds/pekingese/
Toy,Group,Pomeranian,"Lively, bold, and inquisitive—a prototypical ""personality breed"".",/dog-breeds/pomeranian/
Toy,Group,Poodle,"Proud, active and very smart..",/dog-breeds/poodle/
Toy,Group,Pug,"Even-tempered, charming, mischievous and loving.",/dog-breeds/pug/
Toy,Group,Shih Tzu,"Outgoing, affectionate, playful and charming",/dog-breeds/shih-tzu/
Toy,Group,Silky Terrier,"Friendly, vivacious, cheeky; in all ways a true terrier.",/dog-breeds/silky-terrier/
Toy,Group,Toy Fox Terrier,"Toy Fox Terriers are outgoing and friendly, yet fiercely loyal to their families.",/dog-breeds/toy-fox-terrier/
Toy,Group,Yorkshire Terrier,"Sprightly, tomboyish, and affectionate",/dog-breeds/yorkshire-terrier/
Working,Group,Akita,"Dignified, courageous, and profoundly loyal.",/dog-breeds/akita/
Working,Group,Alaskan Malamute,"Affectionate, loyal, playful but dignified.",/dog-breeds/alaskan-malamute/
Working,Group,Anatolian Shepherd Dog,"Calm, watchful, loyal, and smart; protective and territorial.",/dog-breeds/anatolian-shepherd-dog/
Working,Group,Bernese Mountain Dog,Good-natured and calm.,/dog-breeds/bernese-mountain-dog/
Working,Group,Black Russian Terrier,"Smart, confident, courageous; protective of loved ones, aloof with strangers.",/dog-breeds/black-russian-terrier/
Working,Group,Boerboel,,/dog-breeds/boerboel/
Working,Group,Boxer,"Fun-loving, bright, active and loyal.",/dog-breeds/boxer/
Working,Group,Bullmastiff,"Brave, affectionate, and loyal, the Bullmastiff will always have your back.",/dog-breeds/bullmastiff/
Working,Group,Cane Corso,"Smart, trainable, and noble of bearing; assertive and confident, Corsi are peerless protectors.",/dog-breeds/cane-corso/
Working,Group,Chinook,"Patient, smart, willing to please; a devoted family dog.",/dog-breeds/chinook/
Working,Group,Doberman Pinscher,"Alert, fearless, loyal, and highly trainable.",/dog-breeds/doberman-pinscher/
Working,Group,Dogue de Bordeaux,"Loyal, affectionate, and protective; courageous but not aggressive.",/dog-breeds/dogue-de-bordeaux/
Working,Group,German Pinscher,"Intelligent, determined, assertive; playful and vivacious into old age.",/dog-breeds/german-pinscher/
Working,Group,Giant Schnauzer,"Loyal, alert, trainable, with the stable temperament required in big dogs of great strength.",/dog-breeds/giant-schnauzer/
Working,Group,Great Dane,"Friendly, patient, & dependable.",/dog-breeds/great-dane/
Working,Group,Great Pyrenees,"Calm, patient, smart; strong-willed yet affectionate.",/dog-breeds/great-pyrenees/
Working,Group,Greater Swiss Mountain Dog,"Faithful, dependable, family oriented; Swissies are famously even-tempered.",/dog-breeds/greater-swiss-mountain-dog/
Working,Group,Komondor,"Dignified, brave, protective, steadfastly loyal",/dog-breeds/komondor/
Working,Group,Kuvasz,"Intensely loyal, protective, utterly fearless; sweet and patient with family",/dog-breeds/kuvasz/
Working,Group,Leonberger,"Bright, patient, loving, and family oriented",/dog-breeds/leonberger/
Working,Group,Mastiff,"Courageous and dignified, but good-natured and docile.",/dog-breeds/mastiff/
Working,Group,Neapolitan Mastiff,"Watchful and dignified; sweet, steady, and loyal with loved ones, calm but wary with strangers.",/dog-breeds/neapolitan-mastiff/
Working,Group,Newfoundland,"Sweet, patient, devoted; Newfs are famously good companions",/dog-breeds/newfoundland/
Working,Group,Portuguese Water Dog,"The PWD is an “A” student: Affectionate, athletic, and adventurous.",/dog-breeds/portuguese-water-dog/
Working,Group,Rottweiler,Reserved with strangers and affectionate and loyal with his family.,/dog-breeds/rottweiler/
Working,Group,Samoyed,"Gentle, adaptable, eager, friendly; conservative but never shy",/dog-breeds/samoyed/
Working,Group,Siberian Husky,"Friendly, gentle, dignified; alert, but not aggressive.",/dog-breeds/siberian-husky/
Working,Group,Standard Schnauzer,"Smart, fearless, sometimes willful; spirited, but ever reliable.",/dog-breeds/standard-schnauzer/
Working,Group,Tibetan Mastiff,"Mellow and calm around the house; devoted to family, reserved and territorial with strangers.",/dog-breeds/tibetan-mastiff/
Working,Group,St. Bernard,"Friendly, patient, outgoing; known as a great “nanny dog” for kids.",/dog-breeds/st-bernard/
